Date,Price,Open,High,Low,Change %,diff_1,label
2013-01-01,1.3205,1.3194,1.322,1.318,0.07%,,
2013-01-02,1.3186,1.3205,1.3302,1.3157,-0.14%,-0.0019000000000000128,0.0
2013-01-03,1.3048,1.3187,1.3192,1.3046,-1.05%,-0.013800000000000034,1.0
2013-01-04,1.3069,1.3048,1.3091,1.2999,0.16%,0.0020999999999999908,2.0
2013-01-07,1.3117,1.3072,1.3121,1.3018,0.37%,0.0048000000000001375,2.0
2013-01-08,1.3083,1.3116,1.3142,1.3058,-0.26%,-0.0034000000000000696,1.0
2013-01-09,1.3064,1.3081,1.3096,1.3037,-0.15%,-0.0019000000000000128,0.0
2013-01-10,1.3271,1.3065,1.3273,1.3039,1.58%,0.02069999999999994,2.0
2013-01-11,1.3344,1.3272,1.3366,1.3248,0.55%,0.007300000000000084,2.0
2013-01-14,1.3383,1.334,1.3404,1.3334,0.29%,0.0039000000000000146,2.0
2013-01-15,1.3304,1.3382,1.3394,1.3268,-0.59%,-0.007900000000000018,1.0
2013-01-16,1.329,1.3304,1.3325,1.3257,-0.11%,-0.0014000000000000679,0.0
2013-01-17,1.3377,1.3291,1.339,1.3271,0.65%,0.00869999999999993,2.0
2013-01-18,1.3319,1.3377,1.3403,1.3281,-0.43%,-0.005799999999999805,1.0
2013-01-21,1.3314,1.3321,1.3333,1.33,-0.04%,-0.000500000000000167,0.0
2013-01-22,1.3321,1.3312,1.3373,1.3268,0.05%,0.000700000000000145,0.0
2013-01-23,1.3318,1.3321,1.3356,1.3265,-0.02%,-0.00029999999999996696,0.0
2013-01-24,1.3376,1.3319,1.3394,1.3287,0.44%,0.005799999999999805,2.0
2013-01-25,1.3462,1.3377,1.3481,1.335,0.64%,0.008600000000000163,2.0
2013-01-28,1.3456,1.3464,1.3478,1.3424,-0.04%,-0.000600000000000156,0.0
2013-01-29,1.3493,1.3455,1.3498,1.3415,0.27%,0.0037000000000000366,2.0
2013-01-30,1.3568,1.3491,1.3588,1.3481,0.56%,0.007500000000000062,2.0
2013-01-31,1.3579,1.3567,1.3594,1.354,0.08%,0.001100000000000101,0.0
2013-02-01,1.364,1.3577,1.3712,1.3572,0.45%,0.006099999999999994,2.0
2013-02-04,1.3514,1.3642,1.3659,1.3504,-0.92%,-0.012600000000000167,1.0
2013-02-05,1.3584,1.3514,1.3599,1.3459,0.52%,0.007000000000000117,2.0
2013-02-06,1.3523,1.3584,1.3598,1.3495,-0.45%,-0.006099999999999994,1.0
2013-02-07,1.3396,1.3521,1.3577,1.3369,-0.94%,-0.012700000000000156,1.0
2013-02-08,1.3365,1.3398,1.3431,1.3354,-0.23%,-0.0030999999999998806,1.0
2013-02-11,1.3407,1.3359,1.3428,1.3325,0.31%,0.0041999999999999815,2.0
2013-02-12,1.3454,1.3406,1.3476,1.3365,0.35%,0.0046999999999999265,2.0
2013-02-13,1.3453,1.3453,1.3521,1.3426,-0.01%,-9.999999999998899e-05,0.0
2013-02-14,1.3361,1.3451,1.3456,1.3314,-0.68%,-0.009199999999999875,1.0
2013-02-15,1.3363,1.3363,1.3394,1.3306,0.01%,0.00019999999999997797,0.0
2013-02-18,1.3352,1.3357,1.3377,1.3321,-0.08%,-0.001100000000000101,0.0
2013-02-19,1.3388,1.3352,1.3397,1.3329,0.27%,0.0036000000000000476,2.0
2013-02-20,1.3281,1.3387,1.3434,1.327,-0.80%,-0.010699999999999932,1.0
2013-02-21,1.3189,1.3283,1.3291,1.3161,-0.69%,-0.009200000000000097,1.0
2013-02-22,1.319,1.319,1.3247,1.3146,0.01%,9.999999999998899e-05,0.0
2013-02-25,1.3062,1.3175,1.3319,1.3047,-0.97%,-0.012799999999999923,1.0
2013-02-26,1.3062,1.3062,1.3121,1.3018,0.00%,0.0,0.0
